title,year,sentiment_analysis,recommend
Half-Life 2: Episode One,2013.0,6,3
Half-Life 2: Episode One,2014.0,6,3
Half-Life 2: Episode One,2015.0,10,7
Portal,2010.0,4,2
Portal,2011.0,20,11
Portal,2012.0,12,7
Portal,2013.0,29,17
Portal,2014.0,62,35
Portal,2015.0,29,17
Half-Life 2: Episode Two,2011.0,3,3
Half-Life 2: Episode Two,2013.0,2,1
Half-Life 2: Episode Two,2014.0,12,6
Half-Life 2: Episode Two,2015.0,9,6
Team Fortress 2,2010.0,15,8
Team Fortress 2,2011.0,133,76
Team Fortress 2,2012.0,423,241
Team Fortress 2,2013.0,1339,778
Team Fortress 2,2014.0,2586,1510
Team Fortress 2,2015.0,1185,682
Left 4 Dead,2011.0,1,1
Left 4 Dead,2012.0,8,5
Left 4 Dead,2013.0,14,9
Left 4 Dead,2014.0,18,10
Left 4 Dead,2015.0,5,3
Left 4 Dead 2,2010.0,2,1
Left 4 Dead 2,2011.0,14,8
Left 4 Dead 2,2012.0,51,29
Left 4 Dead 2,2013.0,362,215
Left 4 Dead 2,2014.0,425,256
Left 4 Dead 2,2015.0,176,104
Portal 2,2010.0,2,1
Portal 2,2011.0,47,25
Portal 2,2012.0,49,29
Portal 2,2013.0,118,67
Portal 2,2014.0,243,138
Portal 2,2015.0,140,83
Alien Swarm,2010.0,8,4
Alien Swarm,2011.0,10,6
Alien Swarm,2012.0,15,8
Alien Swarm,2013.0,24,14
Alien Swarm,2014.0,62,34
Alien Swarm,2015.0,22,13
Counter-Strike: Global Offensive,2010.0,2,1
Counter-Strike: Global Offensive,2011.0,8,5
Counter-Strike: Global Offensive,2012.0,68,42
Counter-Strike: Global Offensive,2013.0,409,240
Counter-Strike: Global Offensive,2014.0,2007,1172
Counter-Strike: Global Offensive,2015.0,2599,1517
Red Orchestra: Ostfront 41-45,2012.0,1,1
Red Orchestra: Ostfront 41-45,2013.0,1,1
Killing Floor,2010.0,9,5
Killing Floor,2011.0,27,14
Killing Floor,2012.0,13,9
Killing Floor,2013.0,126,74
Killing Floor,2014.0,212,127
Killing Floor,2015.0,54,35
Darkest Hour: Europe '44-'45,2014.0,2,1
Uplink,2011.0,2,1
Uplink,2012.0,2,1
Uplink,2014.0,3,2
Uplink,2015.0,4,2
DEFCON,2012.0,2,1
DEFCON,2013.0,2,1
DEFCON,2014.0,6,3
DEFCON,2015.0,2,1
Space Empires V,2013.0,2,1
Space Empires V,2015.0,2,1
Source Filmmaker,2012.0,9,5
Source Filmmaker,2013.0,26,15
Source Filmmaker,2014.0,102,59
Source Filmmaker,2015.0,44,24
Two Worlds Epic Edition,2013.0,2,1
Two Worlds Epic Edition,2014.0,2,1
Quake III Arena,2011.0,2,1
Quake III Arena,2015.0,2,1
Wolfenstein 3D,2012.0,1,1
Wolfenstein 3D,2014.0,2,1
Wolfenstein 3D,2015.0,4,2
Ultimate Doom,2014.0,4,2
Ultimate Doom,2015.0,6,3
Final DOOM,2014.0,2,1
DOOM II,2010.0,2,1
DOOM II,2015.0,2,1
QUAKE,2012.0,1,1
QUAKE,2014.0,2,1
QUAKE II,2013.0,2,1
The Ship: Murder Party,2013.0,4,2
The Ship: Murder Party,2014.0,19,10
The Ship: Murder Party,2015.0,7,4
The Ship: Single Player,2014.0,4,2
Bloody Good Time,2012.0,2,1
Bloody Good Time,2014.0,4,2
Shadowgrounds,2014.0,2,1
Alpha Prime,2015.0,2,1
Vampire: The Masquerade - Bloodlines,2012.0,3,2
Vampire: The Masquerade - Bloodlines,2014.0,6,3
Vampire: The Masquerade - Bloodlines,2015.0,1,1
GUN™,2015.0,2,1
Call of Duty®,2012.0,1,1
Call of Duty®,2015.0,2,1
Call of Duty® 2,2014.0,1,1
Call of Duty: United Offensive,2013.0,2,1
Call of Duty: United Offensive,2015.0,2,1
RollerCoaster Tycoon® 3: Platinum,2013.0,4,2
RollerCoaster Tycoon® 3: Platinum,2014.0,2,1
RollerCoaster Tycoon® 3: Platinum,2015.0,7,4
X3: Reunion,2015.0,2,1
X3: Terran Conflict,2015.0,2,1
X Rebirth,2013.0,2,1
X Rebirth,2015.0,4,2
FlatOut 2™,2014.0,5,3
FlatOut 2™,2015.0,4,2
Xpand Rally Xtreme,2014.0,2,1
King's Bounty: Armored Princess,2015.0,2,1
Safecracker: The Ultimate Puzzle Adventure,2014.0,2,1
Insaniquarium Deluxe,2012.0,2,1
Insaniquarium Deluxe,2015.0,3,2
Feeding Frenzy 2 Deluxe,2014.0,2,2
Feeding Frenzy 2 Deluxe,2015.0,2,1
Typer Shark! Deluxe,2015.0,1,1
Peggle Deluxe,2013.0,4,2
Peggle Deluxe,2014.0,4,2
Peggle Extreme,2011.0,2,1
Peggle Extreme,2013.0,5,3
Peggle Extreme,2014.0,3,2
Peggle Extreme,2015.0,1,1
Plants vs. Zombies GOTY Edition,2014.0,2,1
Plants vs. Zombies GOTY Edition,2015.0,8,5
Zuma's Revenge!,2014.0,3,2
Sniper Elite,2012.0,2,1
Sniper Elite,2015.0,1,1
Judge Dredd: Dredd vs. Death,2015.0,2,1
Evil Genius,2013.0,2,1
Evil Genius,2014.0,2,1
Aliens versus Predator Classic 2000,2013.0,2,1
Aliens versus Predator Classic 2000,2014.0,8,4
Aliens versus Predator Classic 2000,2015.0,2,1
Advent Rising,2014.0,2,1
Psychonauts,2011.0,2,1
Psychonauts,2012.0,2,1
Psychonauts,2013.0,10,5
Psychonauts,2014.0,10,5
Psychonauts,2015.0,2,1
Sid Meier's Civilization® IV,2013.0,4,2
Sid Meier's Civilization® IV,2014.0,2,1
Sid Meier's Civilization® IV,2015.0,4,2
Sid Meier's Civilization® III Complete,2010.0,2,1
Sid Meier's Civilization® III Complete,2014.0,4,2
Sid Meier's Pirates!,2014.0,2,1
Sid Meier's Pirates!,2015.0,2,1
Garry's Mod,2010.0,7,4
Garry's Mod,2011.0,37,21
Garry's Mod,2012.0,68,37
Garry's Mod,2013.0,571,325
Garry's Mod,2014.0,1277,744
Garry's Mod,2015.0,614,360
S.T.A.L.K.E.R.: Shadow of Chernobyl,2011.0,2,1
S.T.A.L.K.E.R.: Shadow of Chernobyl,2012.0,2,1
S.T.A.L.K.E.R.: Shadow of Chernobyl,2014.0,4,2
S.T.A.L.K.E.R.: Shadow of Chernobyl,2015.0,2,2
Company of Heroes - Legacy Edition,2011.0,6,3
Company of Heroes - Legacy Edition,2012.0,4,2
Company of Heroes - Legacy Edition,2013.0,10,5
Company of Heroes - Legacy Edition,2014.0,12,8
Company of Heroes - Legacy Edition,2015.0,7,4
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2013.0,5,3
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2014.0,8,4
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2015.0,6,3
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2012.0,1,1
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2014.0,11,6
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2015.0,7,4
Medieval II: Total War™,2011.0,2,1
Medieval II: Total War™,2013.0,5,3
Medieval II: Total War™,2014.0,12,6
Medieval II: Total War™,2015.0,16,9
Condemned: Criminal Origins,2013.0,2,1
Rome: Total War™ - Collection,2011.0,2,1
Rome: Total War™ - Collection,2012.0,1,1
Rome: Total War™ - Collection,2013.0,6,4
Rome: Total War™ - Collection,2014.0,7,4
Rome: Total War™ - Collection,2015.0,7,4
Medieval II: Total War™ Kingdoms,2014.0,2,1
Cossacks: Back to War,2013.0,2,1
Natural Selection 2,2012.0,1,1
Natural Selection 2,2013.0,22,13
Natural Selection 2,2014.0,38,23
Natural Selection 2,2015.0,6,5
STAR WARS™ Republic Commando™,2013.0,4,2
STAR WARS™ Republic Commando™,2014.0,5,3
STAR WARS™ Republic Commando™,2015.0,12,7
STAR WARS™ Jedi Knight - Jedi Academy™,2012.0,2,1
STAR WARS™ Jedi Knight - Jedi Academy™,2014.0,10,6
STAR WARS™ Jedi Knight - Jedi Academy™,2015.0,4,2
STAR WARS™ Jedi Knight II - Jedi Outcast™,2011.0,2,1
STAR WARS™ Jedi Knight II - Jedi Outcast™,2014.0,1,1
STAR WARS™ Jedi Knight II - Jedi Outcast™,2015.0,2,1
"Star Wars: Battlefront 2 (Classic, 2005)",2011.0,2,1
"Star Wars: Battlefront 2 (Classic, 2005)",2012.0,4,2
"Star Wars: Battlefront 2 (Classic, 2005)",2013.0,17,10
"Star Wars: Battlefront 2 (Classic, 2005)",2014.0,74,42
"Star Wars: Battlefront 2 (Classic, 2005)",2015.0,46,26
Vegas: Make It Big™,2014.0,2,1
FlatOut,2013.0,4,2
FlatOut,2014.0,2,1
FlatOut,2015.0,2,1
The Longest Journey,2013.0,1,1
The Longest Journey,2015.0,2,1
Bloodline Champions,2015.0,2,1
Nexus - The Jupiter Incident,2013.0,2,1
Devil May Cry® 3 Special Edition,2014.0,3,2
Commandos: Behind Enemy Lines,2015.0,2,1
Commandos 2: Men of Courage,2014.0,2,1
Hitman 2: Silent Assassin,2013.0,1,1
Hitman: Blood Money,2011.0,1,1
Hitman: Blood Money,2012.0,1,1
Hitman: Blood Money,2013.0,2,1
Hitman: Blood Money,2014.0,3,2
Hitman: Blood Money,2015.0,14,7
Just Cause,2011.0,2,1
Just Cause,2014.0,4,3
Just Cause,2015.0,2,1
Deus Ex: Game of the Year Edition,2011.0,2,1
Deus Ex: Game of the Year Edition,2012.0,3,2
Deus Ex: Game of the Year Edition,2013.0,2,1
Deus Ex: Game of the Year Edition,2014.0,10,6
Deus Ex: Game of the Year Edition,2015.0,5,3
Thief: Deadly Shadows,2014.0,2,1
Thief: Deadly Shadows,2015.0,2,1
Tomb Raider: Legend,2012.0,2,1
Tomb Raider: Legend,2014.0,2,1
Rogue Trooper,2014.0,2,1
Trackmania United Forever Star Edition,2010.0,2,1
Trackmania United Forever Star Edition,2014.0,2,1
X-Blades,2013.0,3,2
X-Blades,2015.0,2,1
Two Worlds II HD,2012.0,2,1
Two Worlds II HD,2013.0,2,1
Two Worlds II HD,2014.0,2,1
Sid Meier's Railroads!,2015.0,2,1
X-COM: Apocalypse,2012.0,2,1
BioShock™,2011.0,2,1
BioShock™,2012.0,4,2
BioShock™,2013.0,20,10
BioShock™,2014.0,55,29
BioShock™,2015.0,25,14
X-COM: Interceptor,2013.0,2,1
X-COM: UFO Defense,2011.0,2,1
X-COM: UFO Defense,2014.0,2,1
Men of War™,2011.0,2,1
Men of War™,2012.0,2,1
Death Track®: Resurrection,2013.0,1,1
NecroVision,2014.0,1,1
Call of Duty® 4: Modern Warfare®,2012.0,3,2
Call of Duty® 4: Modern Warfare®,2013.0,3,2
Call of Duty® 4: Modern Warfare®,2014.0,9,6
Call of Duty® 4: Modern Warfare®,2015.0,7,4
Tomb Raider: Anniversary,2015.0,2,1
Kane and Lynch: Dead Men™,2015.0,4,2
Battlestations Pacific,2014.0,2,1
Battlestations Pacific,2015.0,1,1
Just Cause 2,2011.0,7,4
Just Cause 2,2012.0,17,9
Just Cause 2,2013.0,68,37
Just Cause 2,2014.0,119,66
Just Cause 2,2015.0,43,27
Sam &amp; Max 104: Abe Lincoln Must Die!,2014.0,2,1
Bone: Out From Boneville,2014.0,2,1
Strong Bad's Cool Game for Attractive People: Season 1,2013.0,2,1
Geometry Wars: Retro Evolved,2014.0,6,4
EVE Online,2011.0,2,1
EVE Online,2013.0,5,3
EVE Online,2014.0,1,1
EVE Online,2015.0,8,4
RACE 07,2013.0,4,2
RACE 07,2014.0,1,1
Civilization IV: Beyond the Sword,2010.0,2,1
Civilization IV: Beyond the Sword,2013.0,2,1
BioShock® 2,2012.0,2,1
BioShock® 2,2013.0,2,1
BioShock® 2,2014.0,11,6
BioShock® 2,2015.0,6,3
BioShock Infinite,2012.0,1,1
BioShock Infinite,2013.0,112,61
BioShock Infinite,2014.0,212,118
BioShock Infinite,2015.0,94,53
Freedom Force,2014.0,2,1
Sid Meier's Civilization® V,2010.0,2,1
Sid Meier's Civilization® V,2011.0,4,2
Sid Meier's Civilization® V,2012.0,6,4
Sid Meier's Civilization® V,2013.0,93,50
Sid Meier's Civilization® V,2014.0,277,152
Sid Meier's Civilization® V,2015.0,129,71
Borderlands,2011.0,9,5
Borderlands,2012.0,15,9
Borderlands,2013.0,17,9
Borderlands,2014.0,16,10
Borderlands,2015.0,15,8
Borderlands: The Zombie Island of Dr. Ned,2012.0,1,1
DOOM 3,2011.0,2,1
DOOM 3,2015.0,2,1
Commander Keen,2011.0,2,1
Commander Keen,2013.0,2,1
Commander Keen,2015.0,2,1
RAGE,2011.0,3,2
RAGE,2013.0,10,5
RAGE,2014.0,4,2
RAGE,2015.0,3,2
Supreme Commander,2013.0,2,1
Supreme Commander,2014.0,4,2
Supreme Commander: Forged Alliance,2012.0,2,1
Supreme Commander: Forged Alliance,2013.0,3,2
Supreme Commander: Forged Alliance,2014.0,10,5
Supreme Commander: Forged Alliance,2015.0,6,3
"Warhammer® 40,000: Dawn of War® - Soulstorm",2014.0,4,2
"Warhammer® 40,000: Dawn of War® - Soulstorm",2015.0,10,6
Frontlines™: Fuel of War™,2014.0,2,1
Saints Row 2,2011.0,8,4
Saints Row 2,2013.0,6,3
Saints Row 2,2014.0,23,13
Saints Row 2,2015.0,17,10
Gish,2013.0,2,1
Champions Online,2011.0,2,1
Champions Online,2014.0,2,1
Champions Online,2015.0,2,1
Star Trek Online,2013.0,8,5
Star Trek Online,2014.0,16,10
Star Trek Online,2015.0,10,5
Test Drive Unlimited 2,2014.0,4,2
Test Drive Unlimited 2,2015.0,6,3
Blade Kitten,2014.0,1,1
Call of Duty: World at War,2012.0,1,1
Call of Duty: World at War,2013.0,14,8
Call of Duty: World at War,2014.0,31,17
Call of Duty: World at War,2015.0,37,19
TimeShift™,2014.0,2,1
TimeShift™,2015.0,2,1
Prototype™,2010.0,2,1
Prototype™,2012.0,2,1
Prototype™,2013.0,2,1
Prototype™,2014.0,9,5
Call of Duty®: Modern Warfare® 2,2011.0,6,4
Call of Duty®: Modern Warfare® 2,2012.0,11,6
Call of Duty®: Modern Warfare® 2,2013.0,18,10
Call of Duty®: Modern Warfare® 2,2014.0,49,29
Call of Duty®: Modern Warfare® 2,2015.0,39,24
Postal III,2014.0,2,1
Empire: Total War™,2011.0,2,1
Empire: Total War™,2012.0,2,1
Empire: Total War™,2013.0,14,9
Empire: Total War™,2014.0,17,11
Empire: Total War™,2015.0,18,9
Empire: Total War™ - Elite Units of the West,2015.0,2,1
Aliens vs. Predator™,2011.0,4,2
Aliens vs. Predator™,2012.0,4,2
Aliens vs. Predator™,2013.0,4,2
Aliens vs. Predator™,2014.0,15,8
Aliens vs. Predator™,2015.0,15,8
TrackMania Nations Forever,2012.0,2,1
TrackMania Nations Forever,2013.0,4,2
TrackMania Nations Forever,2014.0,13,7
TrackMania Nations Forever,2015.0,7,4
Sherlock Holmes: The Awakened - Remastered Edition,2014.0,2,1
Gumboy Tournament,2012.0,1,1
Space Trader: Merchant Marine,2014.0,2,1
Penguins Arena: Sedna's World,2014.0,9,5
Penguins Arena: Sedna's World,2015.0,2,1
Obulis,2014.0,2,1
Larva Mortus,2014.0,2,1
Chains,2013.0,2,1
Overlord™,2011.0,2,1
Overlord™,2014.0,4,2
Overlord™,2015.0,2,2
Hospital Tycoon,2014.0,2,1
Hospital Tycoon,2015.0,2,1
Dragon Nest,2013.0,6,3
Dragon Nest,2014.0,13,7
Dragon Nest,2015.0,17,9
Grand Theft Auto III,2013.0,2,1
Grand Theft Auto III,2014.0,8,4
Grand Theft Auto III,2015.0,5,3
Grand Theft Auto: Vice City,2013.0,3,2
Grand Theft Auto: Vice City,2014.0,9,6
Grand Theft Auto: Vice City,2015.0,12,7
Grand Theft Auto: San Andreas,2012.0,4,2
Grand Theft Auto: San Andreas,2013.0,10,5
Grand Theft Auto: San Andreas,2014.0,23,16
Grand Theft Auto: San Andreas,2015.0,12,8
Max Payne,2013.0,2,1
Max Payne,2014.0,2,1
Midnight Club 2,2015.0,2,1
Bully: Scholarship Edition,2012.0,1,1
Bully: Scholarship Edition,2013.0,9,5
Bully: Scholarship Edition,2014.0,20,11
Bully: Scholarship Edition,2015.0,12,6
Grand Theft Auto: Episodes from Liberty City,2011.0,2,1
Grand Theft Auto: Episodes from Liberty City,2013.0,4,2
Grand Theft Auto: Episodes from Liberty City,2014.0,6,3
Grand Theft Auto: Episodes from Liberty City,2015.0,2,1
Darkstar One,2015.0,2,1
Jack Keane,2014.0,2,1
FlatOut: Ultimate Carnage,2012.0,2,1
FlatOut: Ultimate Carnage,2013.0,2,1
FlatOut: Ultimate Carnage,2014.0,2,1
PuzzleQuest: Challenge of the Warlords,2011.0,4,2
Sprint Cars Road to Knoxville,2014.0,2,1
Overlord II,2015.0,2,1
Operation Flashpoint: Dragon Rising,2011.0,2,1
Operation Flashpoint: Dragon Rising,2014.0,2,1
AudioSurf,2010.0,2,1
AudioSurf,2011.0,10,5
AudioSurf,2012.0,6,3
AudioSurf,2013.0,18,10
AudioSurf,2014.0,17,9
AudioSurf,2015.0,9,5
Unreal Tournament 3 Black,2012.0,2,1
Unreal Tournament 3 Black,2013.0,2,1
Unreal Tournament 3 Black,2014.0,4,2
Unreal Tournament 2004: Editor's Choice Edition,2012.0,2,1
Unreal Tournament 2004: Editor's Choice Edition,2013.0,1,1
Unreal Tournament 2004: Editor's Choice Edition,2014.0,2,1
Unreal Tournament 2004: Editor's Choice Edition,2015.0,6,3
Unreal Gold,2015.0,2,1
Prince of Persia: Warrior Within™,2014.0,2,1
Far Cry®,2012.0,2,1
Far Cry®,2014.0,2,1
Far Cry®,2015.0,2,1
Tom Clancy's Splinter Cell Chaos Theory®,2010.0,2,1
Tom Clancy's Splinter Cell Chaos Theory®,2014.0,3,2
Tom Clancy's Splinter Cell Chaos Theory®,2015.0,4,2
Prince of Persia®: The Sands of Time,2011.0,2,1
Prince of Persia®: The Sands of Time,2014.0,4,2
Assassin's Creed™: Director's Cut Edition,2014.0,3,2
Assassin's Creed™: Director's Cut Edition,2015.0,2,1
Tom Clancy's Rainbow Six® Vegas 2,2013.0,4,2
Tom Clancy's Rainbow Six® Vegas 2,2014.0,2,1
Beyond Good and Evil™,2013.0,2,1
Beyond Good and Evil™,2014.0,2,1
Heroes of Might &amp; Magic V,2015.0,2,1
Silent Hunter®: Wolves of the Pacific,2014.0,2,1
Tom Clancy's Ghost Recon®,2014.0,2,1
IL-2 Sturmovik: 1946,2010.0,2,1
IL-2 Sturmovik: 1946,2012.0,2,1
IL-2 Sturmovik: 1946,2014.0,5,3
IL-2 Sturmovik: 1946,2015.0,4,2
Brothers in Arms: Hell's Highway™,2014.0,2,1
Brothers in Arms: Hell's Highway™,2015.0,2,1
AaAaAA!!! - A Reckless Disregard for Gravity,2011.0,2,1
AaAaAA!!! - A Reckless Disregard for Gravity,2015.0,2,1
"Warhammer 40,000: Dawn of War II",2011.0,5,3
"Warhammer 40,000: Dawn of War II",2012.0,1,1
"Warhammer 40,000: Dawn of War II",2013.0,2,1
"Warhammer 40,000: Dawn of War II",2014.0,5,3
"Warhammer 40,000: Dawn of War II",2015.0,7,4
Oddworld: Abe's Oddysee®,2011.0,2,1
Oddworld: Abe's Oddysee®,2012.0,2,1
Oddworld: Abe's Oddysee®,2013.0,4,2
Oddworld: Abe's Oddysee®,2014.0,16,8
Oddworld: Abe's Oddysee®,2015.0,8,5
Oddworld: Abe's Exoddus®,2011.0,2,1
Oddworld: Abe's Exoddus®,2014.0,2,1
Oddworld: Abe's Exoddus®,2015.0,6,3
Oddworld: Stranger's Wrath HD,2014.0,2,1
Oddworld: Stranger's Wrath HD,2015.0,6,3
Plant Tycoon,2014.0,2,1
Trials 2: Second Edition,2012.0,2,1
Insecticide Part 1,2014.0,2,2
Velvet Assassin,2014.0,5,3
Sid Meier's Civilization V: Gods and Kings,2012.0,2,1
Sid Meier's Civilization V: Gods and Kings,2014.0,1,1
Tribes: Ascend,2012.0,14,8
Tribes: Ascend,2013.0,28,19
Tribes: Ascend,2014.0,25,15
Tribes: Ascend,2015.0,17,9
Children of the Nile: Enhanced Edition,2014.0,2,1
Crysis,2014.0,6,3
Crysis,2015.0,2,1
Crysis Warhead®,2012.0,2,1
Crysis Warhead®,2013.0,1,1
Crysis Warhead®,2015.0,1,1
SPORE™,2012.0,2,1
SPORE™,2013.0,6,4
SPORE™,2014.0,38,21
SPORE™,2015.0,9,6
Mirror's Edge™,2012.0,11,6
Mirror's Edge™,2013.0,16,10
Mirror's Edge™,2014.0,57,31
Mirror's Edge™,2015.0,21,12
SPORE™ Creepy &amp; Cute Parts Pack,2013.0,1,1
SPORE™ Creepy &amp; Cute Parts Pack,2015.0,2,1
Dragon Age: Origins,2010.0,2,1
Dragon Age: Origins,2013.0,2,1
Dragon Age: Origins,2014.0,4,2
Mass Effect,2011.0,2,1
Mass Effect,2012.0,4,2
Mass Effect,2013.0,8,4
Mass Effect,2014.0,14,8
Mass Effect,2015.0,2,1
Dead Space,2013.0,11,7
Dead Space,2014.0,9,5
Dead Space,2015.0,3,2
Command &amp; Conquer: Red Alert 3,2012.0,2,1
Command &amp; Conquer: Red Alert 3,2013.0,6,3
Command &amp; Conquer: Red Alert 3,2014.0,1,1
Command &amp; Conquer: Red Alert 3,2015.0,9,6
Zombie Panic! Source,2012.0,6,5
Zombie Panic! Source,2013.0,17,11
Zombie Panic! Source,2014.0,22,13
Zombie Panic! Source,2015.0,3,2
Age of Chivalry,2011.0,2,1
Age of Chivalry,2012.0,4,2
Age of Chivalry,2013.0,2,1
Age of Chivalry,2014.0,4,2
Synergy,2012.0,1,1
Synergy,2013.0,7,4
Synergy,2014.0,21,13
Synergy,2015.0,15,9
D.I.P.R.I.P. Warm Up,2015.0,1,1
Eternal Silence,2014.0,2,1
"Pirates, Vikings, and Knights II",2012.0,1,1
"Pirates, Vikings, and Knights II",2013.0,2,1
"Pirates, Vikings, and Knights II",2014.0,6,3
"Pirates, Vikings, and Knights II",2015.0,7,4
Dystopia,2013.0,3,2
Dystopia,2014.0,2,1
INSURGENCY: Modern Infantry Combat,2013.0,2,1
INSURGENCY: Modern Infantry Combat,2014.0,2,2
Nuclear Dawn,2011.0,2,1
Nuclear Dawn,2013.0,2,1
Empires Mod,2014.0,2,1
Empires Mod,2015.0,2,1
"Precipice of Darkness, Episode One",2013.0,2,1
"Precipice of Darkness, Episode Two",2012.0,2,1
Unstoppable Gorg,2013.0,2,1
Defense Grid: The Awakening,2014.0,2,1
Defense Grid: The Awakening,2015.0,2,1
And Yet It Moves,2015.0,2,1
Zero Gear,2014.0,3,2
Zero Gear,2015.0,2,1
Silent Hill Homecoming,2015.0,1,1
Tom Clancy's Rainbow Six® 3 Gold,2014.0,2,1
Far Cry® 2: Fortune's Edition,2013.0,5,3
Far Cry® 2: Fortune's Edition,2014.0,3,2
Far Cry® 2: Fortune's Edition,2015.0,2,1
Red Faction Guerrilla Steam Edition,2012.0,2,1
Red Faction Guerrilla Steam Edition,2014.0,3,2
Red Faction Guerrilla Steam Edition,2015.0,11,6
S.T.A.L.K.E.R.: Clear Sky,2011.0,2,1
S.T.A.L.K.E.R.: Clear Sky,2012.0,2,1
S.T.A.L.K.E.R.: Clear Sky,2014.0,3,2
S.T.A.L.K.E.R.: Clear Sky,2015.0,5,3
Red Faction,2013.0,2,1
Red Faction,2014.0,2,1
Company of Heroes: Tales of Valor,2015.0,2,2
"Warhammer® 40,000: Dawn of War® II Chaos Rising",2011.0,4,2
"Warhammer® 40,000: Dawn of War® II Chaos Rising",2013.0,2,1
"Warhammer® 40,000: Dawn of War® II Chaos Rising",2014.0,2,1
"Warhammer® 40,000: Dawn of War® II Chaos Rising",2015.0,1,1
The Witcher: Enhanced Edition Director's Cut,2011.0,4,2
The Witcher: Enhanced Edition Director's Cut,2013.0,2,1
The Witcher: Enhanced Edition Director's Cut,2014.0,13,8
The Witcher: Enhanced Edition Director's Cut,2015.0,15,8
The Witcher 2: Assassins of Kings Enhanced Edition,2011.0,2,1
The Witcher 2: Assassins of Kings Enhanced Edition,2012.0,2,1
The Witcher 2: Assassins of Kings Enhanced Edition,2013.0,9,5
The Witcher 2: Assassins of Kings Enhanced Edition,2014.0,29,16
The Witcher 2: Assassins of Kings Enhanced Edition,2015.0,11,6
LEGO Batman,2014.0,4,2
LEGO Batman,2015.0,1,1
F.E.A.R.,2014.0,3,2
F.E.A.R.,2015.0,5,3
F.E.A.R. 3,2013.0,2,1
F.E.A.R. 3,2014.0,6,3
F.E.A.R. 3,2015.0,2,1
Street Fighter® IV,2011.0,2,1
Street Fighter® IV,2014.0,2,1
Resident Evil™ 5/ Biohazard 5®,2013.0,2,1
Resident Evil™ 5/ Biohazard 5®,2014.0,2,1
Resident Evil™ 5/ Biohazard 5®,2015.0,3,2
Driver® Parallel Lines,2013.0,2,1
World of Goo,2012.0,2,1
World of Goo,2013.0,4,2
World of Goo,2014.0,6,3
Mount &amp; Blade,2011.0,2,1
Mount &amp; Blade,2013.0,4,2
Mount &amp; Blade,2014.0,2,1
Mount &amp; Blade,2015.0,2,1
Penumbra: Black Plague Gold Edition,2014.0,2,1
Penumbra: Black Plague Gold Edition,2015.0,2,1
Penumbra Overture,2013.0,2,1
Penumbra Overture,2014.0,2,1
Penumbra Overture,2015.0,2,1
Zeno Clash,2011.0,6,3
Zeno Clash,2012.0,2,1
Zeno Clash,2013.0,1,1
Rock of Ages,2014.0,2,2
Fallout 3,2013.0,5,3
Fallout 3,2014.0,19,11
Fallout 3,2015.0,19,11
