title,id,genres
1979 Revolution: Black Friday Original Soundtrack,473590,Adventure Indie
1982,639650,Action Casual Free to Play Indie
1993 Space Machine,373480,Action Indie
199X,355270,Adventure Indie
199X (Original Soundtrack),355290,Adventure Indie
1HEART,270190,Adventure Casual Indie
1Quest,332710,Indie RPG
1bitHeart,618720,Adventure Casual Indie
1bitHeart Original Soundtrack,689920,Adventure Casual Indie
2 Blue Orbs,359493,Action
2 Ninjas 1 Cup,576810,Action Indie
2 Ninjas 1 Cup - Soundtrack,622500,Action Indie
2 Planets Fire and Ice,657110,Casual Strategy
2-in-1 Fluid Intelligence,757950,Indie
200% Mixed Juice!,335190,Adventure Indie RPG
2014 Edition Add-on - Masters of the World DLC,278481,Simulation
2017 Edition Add-on - Power &amp; Revolution DLC,582150,Simulation Strategy
2017 Team Update,587080,Racing
2064: Read Only Memories,330820,Adventure Indie
2064: Read Only Memories Demo,407040,Adventure Indie
20XX,322110,Action Indie
20XX Soundtrack,692510,Action Indie
20something,582840,Indie RPG
21 Days,607660,Adventure Indie Simulation
21 Steps to Soul,544820,Adventure Indie
222 Hearts,729570,Action Casual Indie
24 HOURS,485580,Action Adventure Indie
24 Hours 'til Rescue,444420,Action Adventure Casual Indie RPG
24 Hours 'til Rescue: Cheat Pack!,447300,Action Adventure Casual Indie RPG
28 Waves Later,444290,Action Casual
2D Mahjong Temple,685770,Casual
2D Neon Cube,701720,Action Indie
2Dark,435100,Adventure Indie
2Dark Official Soundtrack and Artbook,579740,Adventure Indie
2V Hoverbike,665650,Action Indie
3 Coins At School,462110,Casual Indie Simulation Sports Strategy
3 Stars of Destiny,278530,Adventure Indie RPG
3 Stars of Destiny - Official Guide,366730,Adventure Indie RPG
3 Suicides of Paul Hamilton,419220,nan
3 days: Zoo Mystery,573650,Casual
3-in-1 Bundle Brain Trainings,743400,Indie
3..2..1..Grenades!,504090,Action Indie
3..2..1..Grenades! Soundtrack,621190,Indie
30 IMPOSSIBLE LEVELS,459910,Action Indie Early Access
30 Years of Garbage: The Garbage Pail Kids Story,669170,nan
300 Dwarves,301730,Casual
303 Squadron: Battle of Britain,675170,Action Simulation
3030 Deathwar Redux,464360,Action Adventure Indie Simulation
3079 -- Block Action RPG,259620,Action Indie RPG
3089 -- Futuristic Action RPG,263360,Action Indie RPG
35MM,466500,Indie
35MM - Soundtracks,486210,Indie
36 Fragments of Midnight,679930,Action Adventure Casual Indie
365 Days,576390,Action Adventure Indie RPG Early Access
3D Arcade Fishing,534910,Casual Simulation Sports
3D Chess,535700,Casual Simulation Sports Strategy
3D Hardcore Cube,691080,Action Indie
3D Hardcore Cube 2,754510,Indie
3D MiniGolf,362830,Casual Simulation Sports
3D MiniGolf: Candy Shop,670560,Casual Simulation Sports
3D Organon Anatomy,583620,Education
3D Paraglider,367990,Action Simulation Sports
3D ParticleGen Visual FX,279740,Photo Editing Utilities Video Production
3D Pool,492160,Simulation
3D Sprite Renderer,468900,Animation &amp; Modeling
3D Tower,745670,Casual Indie
3D Ultra™ Minigolf Adventures,10140,Sports
3D-Coat V4.8,100980,Animation &amp; Modeling
3DF Zephyr Lite Steam Edition,438450,Animation &amp; Modeling Design &amp; Illustration Video Production
3DMark,223850,Utilities
3DMark 11,205270,Utilities
3DMark API Overhead feature test,407080,Utilities
3DMark Cloud Gate benchmark,406960,Utilities
3DMark Fire Strike benchmarks,402290,Utilities
3DMark Ice Storm benchmarks,406950,Utilities
3DMark Sky Diver benchmark,393480,Utilities
3DMark Time Spy benchmark,496100,Utilities
3DMark Time Spy upgrade,496101,Utilities
3DRPG,431840,Adventure Indie RPG
3SwitcheD,206610,Casual Indie
3d Bridges,358700,Simulation
3d Engineers,345030,Simulation
3d Engineers Demo,423370,Simulation
3on3 FreeStyle,624910,Action Casual Free to Play Massively Multiplayer Sports
4 Alice : Lorange Journey,761160,Casual Indie Simulation
4 Cars Pack,304320,Free to Play Simulation
4 Elements,47000,Adventure Casual
4-in-1 IQ Scale Bundle,751750,Indie
40 Days,737600,Indie Simulation Strategy
404Sight,361630,Action Indie
420 Hour Stand-Up,536010,nan
4PM,281840,Indie
4Team,534320,Action Casual Indie
4X Space Time Shipyard,752240,Indie Early Access
4x4 Dream Race,313330,Racing
4x4 Offroad Racing - Nitro,537170,Racing Simulation Sports
4x4 Road Race,587770,Indie Racing
5 Blue Orbs,359494,Action
5 Skeletons Pack,304330,Free to Play Simulation
5 Star Rio Resort,636050,Casual
5-in-1 Bundle Brain Trainings,715710,Casual Indie Simulation
5-in-1 Pack - Monument Builders: Destination USA,564340,Casual
50 Years,516460,Indie Simulation Early Access
50 years,502740,Indie Strategy
50.05,688810,Indie
500 MILES,387660,nan
500 Years Act 1,357200,Adventure Indie RPG
54: The Director's Cut,475310,nan
6 Nights,381000,Casual Indie Simulation
6-in-1 IQ Scale Bundle,755940,Indie
60 Second Strike,696540,Action Indie
60 Seconds!,368360,Adventure Casual Indie Simulation Strategy
600 Miles,475380,nan
6180 the moon,299660,Action Indie
6180 the moon - Soundtrack,301950,nan
64.0,578850,Action Indie
64.0 Soundtrack,610100,Action Indie
688(I) Hunter/Killer,2900,Strategy
6:66PM,664970,nan
7 Assassins,446690,nan
7 Bones and 7 Stones - The Ritual,712080,Action Adventure Indie RPG Early Access
7 Grand Steps: What Ancients Begat,238930,Casual Indie Simulation Strategy
7 Mages Soundtrack,497540,RPG
7 Pillars,654640,RPG
7 Witches,621400,nan
7 Wonders II,15900,Casual
7 Wonders of the Ancient World,275810,Casual Strategy
7 Wonders: Ancient Alien Makeover,223000,Strategy Casual
7 Wonders: Magical Mystery Tour,275830,Casual Strategy
7 Wonders: Treasures of Seven,16030,Casual
"7,62 High Calibre",289890,RPG Simulation Strategy
7th Legion,327910,Action Adventure Strategy
8 Bit Christmas Fireplace,767140,nan
8-Bit Adventures - Soundtrack + Composer's Selection,387170,Adventure Indie RPG
8-Bit Adventures 2,733110,Adventure Indie RPG
8-Bit Adventures: The Forgotten Journey Remastered Edition,370300,Adventure Indie RPG
8-Bit Adventures: The Forgotten Journey Remastered Edition Demo,370530,Adventure Indie RPG
8-Bit Armies,427250,Indie Simulation Strategy
8-Bit Armies - Guardians Campaign,482420,Indie Simulation Strategy
8-Bit Armies - Soundtrack,462170,Simulation Strategy
8-Bit Armies: Arena,586040,Action Indie Strategy
8-Bit Armies: Arena (Free),594960,Action Free to Play Indie Strategy
8-Bit Commando,287860,Action Indie
8-Bit Generation: The Commodore Wars,512010,nan
8-Bit Hordes,497850,Indie Simulation Strategy
8-Bit Hordes - Soundtrack,510530,Indie Simulation Strategy
8-Bit Invaders!,531680,Indie Simulation Strategy
8-Bit Invaders! - Soundtrack,550710,Indie Simulation Strategy
8-bit Adventure Anthology: Volume I,664850,Adventure
8-bit Sound Pack by JOEDOWN,525390,Audio Production
80 Days,381780,Adventure Indie Strategy
80.08,688180,Indie
868-HACK,274700,Indie Strategy
868-HACK - PLAN.B,646930,Indie Strategy
88 Heroes,487040,Action Indie
88 Heroes – H8 Mode Activated!,619800,Action Indie
88 Heroes – RSG Champions,619801,Action Indie
8BitBoy™,296910,Action Casual Indie
8BitMMO,250420,Action Adventure Free to Play Indie Massively Multiplayer RPG
8BitMMO - Steam Founder's Pack Basic,270870,Action Adventure Free to Play Indie Massively Multiplayer RPG
8BitMMO Steam Founder's Pack Deluxe,270871,Action Adventure Free to Play Indie Massively Multiplayer RPG
8DAYS - PEACE IS OUR BUSINESS,409530,Action Indie
8DAYS OST,498560,Action Indie
8bit Invasion,717370,Casual Indie Simulation Strategy
8infinity,526540,Action Casual Indie
9 Clues 2: The Ward,369420,Adventure Casual
9 Clues: The Secret of Serpent Creek,284870,Adventure Casual
9.03m,263100,Indie
90 Minute Fever - Football (Soccer) Manager MMO,468070,Massively Multiplayer Simulation Sports Early Access
91 Days,600820,nan
911 Operator - Every Life Matters,580731,Casual Indie Simulation Strategy
911 Operator - First Response,606970,Casual Indie Simulation Strategy
911 Operator - Special Resources,580730,Casual Indie Simulation Strategy
911: First Responders®,323610,Simulation Strategy
96 Mill,561480,Adventure Indie
99 Levels To Hell,264280,Action Indie
99 Levels to Hell Soundtrack,275050,Action Indie
99 Spirits,258090,Adventure Indie RPG
99 Spirits - Art Book + Music Collection,262141,Adventure Indie RPG
99 Spirits - Cage of Night,262142,Adventure Indie RPG
99 Spirits - Weeping Demon's Bell,262230,Adventure Indie
99 Waves to Die,360600,Action Indie
99Vidas,557040,Action Indie
99Vidas - Soundtrack,574020,Action Indie
9Dragons,390100,Free to Play Massively Multiplayer RPG
9th Company: Roots Of Terror,12480,Strategy
9th Dawn Classic - Clunky controls edition,679090,Action Adventure Indie RPG
9th Dawn II,279070,Action Adventure Indie RPG
A Bastard's Tale,371550,Action Adventure Indie
A Bastard's Tale Demo,372730,Action Adventure Indie
A Bird Story,327410,Adventure Indie RPG
A Bird Story - Original Soundtrack,328230,Adventure Indie RPG
A Blind Legend,437530,Action Adventure Indie
A Blind Legend - Original Soundtrack,528630,Action Adventure Indie
A Blood Story,643180,nan
A Boy and His Blob,281200,Adventure
A Butterfly in the District of Dreams,617430,Casual Indie
A Centaur's Life,735860,nan
A Christmas Fireplace,767120,nan
A City Sleeps - Soundtrack,320440,Action Indie
A City Sleeps™,316180,Action Indie
A Crashlands Story: Dev Diary,578300,nan
A Day For A Kitten,742230,Indie RPG Simulation
A Day in the Woods,526890,Casual Indie Strategy
A Detective's Novel,503820,Adventure Indie
A Dream For Aaron,709140,Action Adventure Casual Indie Early Access
A Druid's Duel,333970,Indie Strategy
A Duel Hand Disaster: Trackher,515010,Action Indie Early Access
A Fistful of Gun,229810,Action Indie
A Fistful of Gun Soundtrack,405260,Action Indie
A Foretold Affair,586670,Casual Indie
A Foretold Affair - Alternate Outfit DLC,594420,Casual Indie
A Game of Changes,467090,Casual Indie
A Game of Dwarves,200370,Strategy Casual
A Game of Dwarves: Ale Pack,222221,Strategy Casual
A Game of Dwarves: Pets,222223,Strategy Casual
A Game of Dwarves: Star Dwarves,222222,Strategy Casual
A Game of Thrones - Genesis,58550,Strategy
A Girls Fabric Face,603810,Adventure Indie
A Golden Wake,307570,Adventure Indie
A Golden Wake Demo,324690,Adventure Indie RPG
A Goo Adventure,655470,Action Adventure Casual Indie
A Good Snowman Is Hard To Build,316610,Indie
A Gummy's Life,585190,Action Casual Indie Early Access
A Hand in the Darkness,620200,Indie
A Hat in Time,253230,Adventure Indie
A Hat in Time - Soundtrack,356831,Adventure Indie
A Healer Only Lives Twice,453300,Indie RPG Strategy
A Hero's Climb,763580,nan
A Hole New World,434160,Action Indie
A Hole New World - Soundtrack,602260,Action Indie
A House of Many Doors,437250,Indie RPG
A House of Many Doors: Soundtrack,587780,Indie RPG
A Kiss For The Petals - Remembering How We Met,397270,Adventure
A Land Fit For Heroes,456210,Adventure Indie RPG Strategy
A Legend of Luca - Official Game Soundtrack,457100,Action Adventure Indie RPG
A Lenda do Herói - O Herói desta Canção,389170,Adventure Casual Indie
A Lenda dos Mortos,729240,Adventure Casual Indie
A Line in the Sand,382750,nan
A Little Lily Princess,449250,Indie Simulation
A Long Road Home,576160,Adventure Casual Indie
A Long Way Home,461030,Adventure Casual Indie
A Magical High School Girl / 魔法の女子高生,555630,Adventure Casual Indie RPG
A Matter of Murder,510040,Adventure Casual Indie
A Matter of Murder - More Wallpapers,727400,Adventure Casual Indie
A Matter of Murder - Soundtrack,676050,Adventure Casual Indie
A Matter of Murder - Wallpapers,520030,Adventure Casual Indie
A Mazeing Tower Defense,683080,Action Casual Strategy
A Midsummer Night's Choice,520150,Adventure Indie RPG
A Midsummer Night's Choice - Commentary Track,622690,Adventure Indie RPG
A More Beautiful World - A Kinetic Visual Novel,436680,Casual Indie RPG Simulation
A Mortician's Tale,578720,Indie Simulation
A Mortician's Tale Original Soundtrack,736320,Indie Simulation
A Near Dawn,728170,Adventure Indie
A New Beginning - Final Cut,105000,Adventure Indie
A New Beginning - Final Cut Soundtrack,558220,Adventure Indie
A New World: Kingdoms,628650,Casual Indie Strategy
A Normal Lost Phone,523210,Casual Indie
A Normal Lost Phone - Official Soundtrack,580700,Casual Indie
A Number's life,560200,Casual Indie
A Pixel Story,339460,Action Adventure Indie
A Pixel Story Original Soundtrack,357440,Action Adventure Indie
A Plot Story,699160,Casual
A Princess' Tale,461380,Adventure Casual Indie RPG
A Quick Death,654000,Action Casual Indie
A Quiver of Crows,347280,Action Indie
A Rip In Time,651370,Action Adventure Indie
A Room Beyond,454330,Adventure Indie
A Rose in the Twilight / ロゼと黄昏の古城,548840,Adventure Strategy
A Rose in the Twilight / ロゼと黄昏の古城 - Digital Art Book / デジタル・アートブック,578280,Adventure Strategy
A Rose in the Twilight / ロゼと黄昏の古城 - Digital Soundtrack / デジタル・サウンドトラック,578281,Adventure Strategy
A SECOND BEFORE US,625370,Adventure Indie
A Shooty Bit,463480,Action Indie
A Sirius Game,392930,Action Adventure Casual Indie RPG Simulation Strategy
A Small Robot Story,753440,Adventure
A Snake's Tale,654810,Indie
A Step Into Darkness,578600,Action Adventure Casual Free to Play Indie RPG
A Step Into Darkness - Original Soundtrack,594270,Action Adventure Casual Indie RPG
A Story About My Uncle,278360,Adventure Casual Indie
A Story of the End - Revere Demo,432220,Action Adventure Indie RPG Strategy
A Stroke of Fate: Operation Bunker,372570,Adventure
A Stroke of Fate: Operation Valkyrie,10240,Adventure
A Study in Steampunk: Choice by Gaslight,421630,Indie RPG
A Study in Steampunk: Choice by Gaslight Demo,421640,Indie RPG
A Survey of Open Space,387470,nan
A Tale of Caos: Overture,500320,Adventure Indie
A Tale of Caos: Overture - Act II,621960,Adventure Indie
A Tale of Caos: Overture - Act III,667710,Adventure Indie
A Tale of Caos: Overture - OST,508810,Adventure Indie
A Tale of Two Kingdoms,603870,Adventure Indie
A Tale of Two Soundtracks,649020,Adventure Indie
A Timely Intervention,461340,Adventure Casual Indie RPG Strategy
A Valley Without Wind,209330,Action Adventure Indie
A Valley Without Wind 2,228320,Action Adventure Indie Strategy
A Vampyre Story,313870,Adventure
A Verdant Hue,496380,Casual Free to Play Indie Simulation Strategy
A Virus Named TOM,207650,Action Indie Strategy
A Virus Named TOM Soundtrack,207655,Casual Indie
A Virus Named TOM: Winter Wonderland,207660,Action Strategy Indie
A Walk in the Dark,248730,Action Indie
A Week of Circus Terror,498450,Indie
A Wild Catgirl Appears!,429580,Adventure
A Wise Use of Time,397780,Indie RPG
A Wise Use of Time Demo,397790,Indie RPG
A Wizard's Lizard,280040,Action Indie RPG
A Wizard's Lizard: Soul Thief,373470,Action Indie RPG Early Access
A Wolf in Autumn,395270,Adventure Indie
A Wonder,683930,Adventure Casual Free to Play Indie
A dead world's dream,517680,Adventure
A dragon girl looks up at the endless sky,456760,Action RPG
A grande bagunça espacial - The big space mess,449220,Action Casual Indie
A-10A for DCS World,245570,Simulation
A-10C: Advanced Aircraft Training Qualification Campaign,555530,Simulation
A-10C: Basic Flight Training Campaign,555531,Simulation
A-10C: Operation Piercing Fury Campaign,549200,Simulation
A-10C: Red Flag Campaign,411901,Simulation
A-10C: Stone Shield Campaign,602620,Simulation
A-10C: Tactical Training Qualification Campaign,706180,Simulation
A-10C: The Enemy Within Campaign,411911,Simulation
A-Gents,460910,Action Indie
A-Men,264460,Action Adventure Indie
A-Men 2,294190,Adventure Indie
A-Train 8,249930,Simulation
A-Train 9 V4.0 : Japan Rail Simulator,278550,Simulation
A-Train 9 V4.0 : Mega Japan Train Pack,418140,Simulation
A-Train PC Classic / みんなのA列車で行こうPC,492090,Simulation
A.I. Invasion,386540,Action Indie Simulation Strategy
A.I. Invasion - Road of Rodan,412900,Action Indie Simulation Strategy
A.I. Space Corps,423180,Action Casual Indie Simulation Strategy
A.I.M. Racing,46200,Action Racing
A.I.M.2 Clan Wars,289180,Action RPG Simulation
A.L.A.N.,754190,Indie Simulation
A.R.E.S. Extinction Agenda EX,315340,Action Indie
A.R.E.S.: Berzerker Suit,92302,Action Indie
A.R.E.S.: Extinction Agenda,92300,Action Indie
A.R.E.S.: Original Soundtrack,92303,Action Indie
A.V.,341750,Adventure Indie
A.V. - Digital Art Book,342050,Adventure Indie
A.V. - Digital Sound Track,342051,Adventure Indie
A.V. Demo,350870,Adventure
A.V.A. Alliance of Valiant Arms™,102700,Action Free to Play
A.V.A. Alliance of Valiant Arms™: Free Pack,539100,Action Free to Play
A.V.A. Alliance of Valiant Arms™: Pointman Pack,539102,Action Free to Play
A.V.A. Alliance of Valiant Arms™: Rifleman Pack,539103,Action Free to Play
A.V.A. Alliance of Valiant Arms™: Sniper Pack,539104,Action Free to Play
A.V.A. Alliance of Valiant Arms™: Starter Pack,539101,Action Free to Play
ABC Coloring Town,478010,Casual
ABD - Legacy Edition,388030,Indie Massively Multiplayer Strategy
ABD: A Beautiful Day,384920,Indie Massively Multiplayer Strategy Early Access
ABO MANDO,429950,Action Adventure Indie
ABRACA - Imagic Games,345990,Action
ABZU,384190,Action Adventure Casual Indie Simulation
ABZU - Official Soundtrack,577450,Action Adventure Casual Indie Simulation
ACCA: 13-Territory Inspection Dept.,653240,nan
ACDSee 15,220960,Photo Editing
ACE - Arena: Cyber Evolution,285580,Action Free to Play Indie Sports Strategy Early Access
ACE Academy,396650,Action Adventure Indie RPG Simulation Sports
ACE Champion Pack DLC,316130,Action Free to Play Indie Sports Strategy
ACE Founder Pack DLC,318271,Action Free to Play Indie Sports Strategy
ACE Supporter Pack DLC,287620,Action Free to Play Indie Sports Strategy
ACID Music Studio 10 - Steam Powered,278190,Audio Production
ACID Music Studio 10 - Steam Powered - Loop Content,376440,Audio Production
ADOM (Ancient Domains Of Mystery),333300,Adventure Indie RPG Strategy
ADventure Lib,374950,Adventure Indie
ADventure Lib Original Soundtrack,390120,Adventure Indie
AEGIS 2186,603610,Action Indie Early Access
AEGYPTUS,675130,Action Adventure Indie Simulation Early Access
AER Memories of Old,331870,Adventure Indie
AER Memories of Old Soundtrack,699290,Adventure Casual Indie
AF-ZERO,744280,Action Indie
AFL Evolution,435020,Sports
AFTERGRINDER,618310,Action Indie
AGFPPROV3 Premium,266590,Animation &amp; Modeling Design &amp; Illustration Education Software Training Utilities
AGON - The Lost Sword of Toledo,410130,Adventure
AGON - The Mysterious Codex (Trilogy),410120,Adventure
AHTS Ship Simulator,670910,Action Simulation
AI Dummy,744220,Action Adventure Casual Indie Sports Early Access
AI War: Ancient Shadows,40408,Indie Strategy
AI War: Children of Neinzul,40406,Indie Strategy
AI War: Destroyer of Worlds,317150,Indie Strategy
AI War: Fleet Command,40400,Indie Strategy
AI War: Light of the Spire,40407,Indie Strategy
AI War: The Zenith Remnant,40403,Indie Strategy
AI War: Vengeance Of The Machine,238950,Indie Strategy
AI: Rampage,438020,Action Indie Strategy
AIPD - Artificial Intelligence Police Department,390930,Action Indie
AIPD - Soundtrack,394040,Action Indie
AIRHEART - Tales of broken Wings,531180,Action Indie Early Access
AIRHEART - The Bonus Content,542190,Action Indie
AIRHEART - The Original Soundtrack,540220,Indie
AIRIS,628610,Casual Free to Play Indie Simulation
AKIBA'S TRIP: Undead &amp;amp; Undressed Demo,375980,Action Adventure Casual RPG
AKIBA'S TRIP: Undead ＆ Undressed,333980,Action Adventure Casual RPG
ALICE VR - Artbook,530671,Adventure Indie
ALICE VR - Developer Diaries and Wallpapers,544620,Adventure Indie
ALICE VR - Soundtrack,530670,Adventure Indie
ALLTYNEX Second,283840,Action Indie
ALLTYNEX Second Original Soundtrack,336860,Action Indie
ALONE IN SPACE,444580,Adventure
ALPAGES : THE FIVE BOOKS,403860,Action Adventure Indie
ALVAROK,729270,Simulation Strategy
AL･FINE,545330,Casual Indie RPG Simulation
AMOK,446780,Action Adventure Indie
AMPLITUDE: A Visual Novel,704680,Casual Indie Simulation Strategy
ANIMALITY,576470,Adventure Casual Indie Early Access
ANIMALITY - Animal Pack #1,576520,Adventure Casual Indie
ANIMALITY - Animal Pack #2,576530,Adventure Casual Indie
ANKI,395380,Action Adventure Casual Indie
AOK Adventures Of Kok,686690,Adventure Casual Indie
APB Reloaded,113400,Action Free to Play Massively Multiplayer
APB Reloaded Urban Survival Pack,113405,Action Free to Play Massively Multiplayer
APOX,80000,Action Indie Strategy
APOX: Legend,80010,Action Strategy Indie
APT,357690,Action Indie Strategy
AR-K,269890,Adventure
AR-K Chapter 1&amp;2 OST,351070,Adventure Free to Play Indie
AR-K: The Great Escape,368890,Adventure Indie
ARC Continuum,543050,Action Adventure Indie
ARCADE GAME SERIES: DIG DUG,403400,Action
ARCADE GAME SERIES: GALAGA,403430,Action
ARCADE GAME SERIES: Ms. PAC-MAN,403410,Action
ARCADE GAME SERIES: PAC-MAN,394160,Action
ARENA 3D,438460,Action Casual Indie
ARENA GODS®,410830,Action Indie Sports Early Access
ARENA an Age of Barbarians story,570970,Action Casual Indie
ARENA an Age of Barbarians story - Deathbringer,747180,Action Casual Indie
ARK BOX Unlimited,553780,Action Casual Indie
ARK: Aberration - Expansion Pack,708770,Action Adventure Indie Massively Multiplayer RPG
ARK: Scorched Earth - Expansion Pack,512540,Action Adventure Indie Massively Multiplayer RPG
ARK: Survival Evolved,346110,Action Adventure Indie Massively Multiplayer RPG
ARK: Survival Evolved Season Pass,696680,Action Adventure Indie Massively Multiplayer RPG
ARK: Survival Of The Fittest,407530,Action Adventure Indie Massively Multiplayer RPG Strategy
ARM PLANETARY PROSPECTORS Asteroid Resource Mining,344890,Action Adventure Casual Indie Racing RPG Simulation Strategy Early Access
ARMA: Cold War Assault,65790,Action Simulation Strategy
ARMA: Combat Operations,2780,Action
